what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420529689
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1266420532543
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420532663
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266420533713
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420535094
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1266420537866
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420538008
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1266420545242
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420548642
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420560244
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266420560588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420561874
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1266420563865
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420563953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420573497
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420576688
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420647050
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420688798
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420693254
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420695022
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266420699837
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1266420708666
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266420710442
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266420712946
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420714297
