what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1266417396540
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417396625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417397436
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417399597
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1266417541657
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1266417541894
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266417608086
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266417608707
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1266417637425
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417643461
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417643484
error,log,,,"Invalid ZIP archive: mysql-connector-java-5.1.0/src/com/mysql/jdbc/Driver.java [in touchpad]",1266417644259
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417649726
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417655260
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417658918
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417923090
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417932897
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417933020
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417937834
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1266417961216
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1266417961216
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417961290
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417967784
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417967816
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266417978844
