what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266419582150
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266419585295
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266419587332
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266419590756
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266419593504
started,bundle,org.eclipse.gef,3.5.0.v20090528-1511,"org.eclipse.gef",1266419598439
started,bundle,org.eclipse.draw2d,3.5.1.v20090813-1341,"org.eclipse.draw2d",1266419598544
opened,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.layout.LayoutEditor",1266419601671
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1266419601839
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.layout.LayoutEditor",1266419602228
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266419609136
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266419619850
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1266419693638
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1266419701937
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1266419713290
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1266419730545
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1266419758605
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.layout.LayoutEditor",1266419762381
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1266419806855
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1266419808173
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1266419809013
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1266419809094
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1266419809564
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1266419810465
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1266419811368
