what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1266420716080
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420716276
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420716539
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420719084
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266420723087
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420724450
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1266420725958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420726030
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420727465
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420733299
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420736042
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420776721
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420780676
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420782964
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420790760
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420795176
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266420807896
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420815318
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420817435
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420819279
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420822209
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420832137
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420834043
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1266420835926
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266420837265
